# This file was generated by the deal.II library.
# Date =  2020/5/1
# Time =  12:51:31
#
# For a description of the GNUPLOT format see the GNUPLOT manual.
#
# <x> <EF_sqL_16> 
0.67125 -0.212967 
0.6725 -0.201374 
0.67375 -0.189258 
0.675 -0.176662 
0.67625 -0.163629 
0.6775 -0.150201 
0.67875 -0.136423 
0.68 -0.122339 
0.68125 -0.107994 
0.6825 -0.093434 
0.68375 -0.0787031 
0.685 -0.0638468 
0.68625 -0.0489101 
0.6875 -0.0339378 
0.68875 -0.0189743 
0.69 -0.00406328 
0.69125 0.0107519 
0.6925 0.0254288 
0.69375 0.0399257 
0.695 0.054202 
0.69625 0.0682179 
0.6975 0.0819348 
0.69875 0.0953154 
0.7 0.108324 
0.70125 0.120925 
0.7025 0.133086 
0.70375 0.144775 
0.705 0.155963 
0.70625 0.16662 
0.7075 0.17672 
0.70875 0.186238 
0.71 0.195151 
0.71125 0.203439 
0.7125 0.21108 
0.71375 0.21806 
0.715 0.224361 
0.71625 0.229971 
0.7175 0.234878 
0.71875 0.239072 
0.72 0.242548 
0.72125 0.245299 
0.7225 0.247321 
0.72375 0.248615 
0.725 0.249181 
0.72625 0.24902 
0.7275 0.248139 
0.72875 0.246544 
0.73 0.244244 
0.73125 0.241248 
0.7325 0.23757 
0.73375 0.233224 
0.735 0.228224 
0.73625 0.22259 
0.7375 0.216341 
0.73875 0.209496 
0.74 0.202078 
0.74125 0.194112 
0.7425 0.185622 
0.74375 0.176636 
0.745 0.167179 
0.74625 0.157282 
0.7475 0.146974 
0.74875 0.136287 
0.75 0.125252 
0.75125 0.113902 
0.7525 0.10227 
0.75375 0.0903902 
0.755 0.0782975 
0.75625 0.066027 
0.7575 0.0536139 
0.75875 0.0410941 
0.76 0.0285035 
0.76125 0.0158781 
0.7625 0.00325392 
0.76375 -0.00933317 
0.765 -0.0218474 
0.76625 -0.0342534 
0.7675 -0.0465161 
0.76875 -0.0586009 
0.77 -0.0704738 
0.77125 -0.0821013 
0.7725 -0.0934509 
0.77375 -0.104491 
0.775 -0.11519 
0.77625 -0.125518 
0.7775 -0.135447 
0.77875 -0.144949 
0.78 -0.153996 
0.78125 -0.162565 
0.7825 -0.170631 
0.78375 -0.178171 
0.785 -0.185164 
0.78625 -0.191592 
0.7875 -0.197436 
0.78875 -0.20268 
0.79 -0.207308 
0.79125 -0.21131 
0.7925 -0.214672 
0.79375 -0.217387 
0.795 -0.219446 
0.79625 -0.220844 
0.7975 -0.221577 
0.79875 -0.221643 
0.8 -0.221043 
0.80125 -0.219777 
0.8025 -0.217851 
0.80375 -0.215269 
0.805 -0.212039 
0.80625 -0.20817 
0.8075 -0.203675 
0.80875 -0.198566 
0.81 -0.192858 
0.81125 -0.186567 
0.8125 -0.179713 
0.81375 -0.172315 
0.815 -0.164395 
0.81625 -0.155977 
0.8175 -0.147086 
0.81875 -0.137747 
0.82 -0.12799 
0.82125 -0.117842 
0.8225 -0.107334 
0.82375 -0.0964991 
0.825 -0.0853685 
0.82625 -0.0739765 
0.8275 -0.0623577 
0.82875 -0.0505477 
0.83 -0.0385829 
0.83125 -0.0265001 
0.8325 -0.014337 
0.83375 -0.00213137 
0.835 0.0100784 
0.83625 0.0222538 
0.8375 0.0343562 
0.83875 0.0463469 
0.84 0.0581873 
0.84125 0.0698392 
0.8425 0.0812646 
0.84375 0.0924258 
0.845 0.103286 
0.84625 0.113809 
0.8475 0.123959 
0.84875 0.133701 
0.85 0.143002 
0.85125 0.15183 
0.8525 0.160154 
0.85375 0.167943 
0.855 0.17517 
0.85625 0.181807 
0.8575 0.18783 
0.85875 0.193215 
0.86 0.197942 
0.86125 0.20199 
0.8625 0.205343 
0.86375 0.207985 
0.865 0.209904 
0.86625 0.211088 
0.8675 0.21153 
0.86875 0.211223 
0.87 0.210165 
0.87125 0.208355 
0.8725 0.205794 
0.87375 0.202487 
0.875 0.198441 
0.87625 0.193666 
0.8775 0.188174 
0.87875 0.181981 
0.88 0.175104 
0.88125 0.167563 
0.8825 0.159382 
0.88375 0.150587 
0.885 0.141205 
0.88625 0.131269 
0.8875 0.12081 
0.88875 0.109866 
0.89 0.098473 
0.89125 0.0866728 
0.8925 0.0745074 
0.89375 0.0620212 
0.895 0.0492606 
0.89625 0.0362737 
0.8975 0.0231105 
0.89875 0.00982198 
0.9 -0.00353907 
0.90125 -0.016919 
0.9025 -0.030263 
0.90375 -0.0435157 
0.905 -0.0566209 
0.90625 -0.0695222 
0.9075 -0.0821631 
0.90875 -0.0944868 
0.91 -0.106437 
0.91125 -0.117959 
0.9125 -0.128996 
0.91375 -0.139496 
0.915 -0.149406 
0.91625 -0.158674 
0.9175 -0.167252 
0.91875 -0.175092 
0.92 -0.18215 
0.92125 -0.188383 
0.9225 -0.193753 
0.92375 -0.198224 
0.925 -0.201763 
0.92625 -0.204342 
0.9275 -0.205935 
0.92875 -0.206524 
0.93 -0.20609 
0.93125 -0.204625 
0.9325 -0.20212 
0.93375 -0.198577 
0.935 -0.193999 
0.93625 -0.188396 
0.9375 -0.181785 
0.93875 -0.174187 
0.94 -0.165632 
0.94125 -0.156152 
0.9425 -0.145788 
0.94375 -0.134589 
0.945 -0.122606 
0.94625 -0.1099 
0.9475 -0.0965362 
0.94875 -0.0825873 
0.95 -0.0681313 
0.95125 -0.0532525 
0.9525 -0.0380406 
0.95375 -0.0225908 
0.955 -0.00700316 
0.95625 0.00861748 
0.9575 0.0241622 
0.95875 0.0395185 
0.96 0.054571 
0.96125 0.0692018 
0.9625 0.0832918 
0.96375 0.096721 
0.965 0.10937 
0.96625 0.121121 
0.9675 0.131857 
0.96875 0.141468 
0.97 0.149847 
0.97125 0.156893 
0.9725 0.162517 
0.97375 0.166635 
0.975 0.16918 
0.97625 0.170095 
0.9775 0.169342 
0.97875 0.166901 
0.98 0.162773 
0.98125 0.156983 
0.9825 0.149581 
0.98375 0.140651 
0.985 0.130307 
0.98625 0.118699 
0.9875 0.106021 
0.98875 0.0925078 
0.99 0.0784441 
0.99125 0.0641675 
0.9925 0.0500729 
0.99375 0.0366178 
0.995 0.0243274 
0.99625 0.0138 
0.9975 0.0057128 
0.99875 0.000828211 
1 0 


