# This file was generated by the deal.II library.
# Date =  2020/5/1
# Time =  12:51:31
#
# For a description of the GNUPLOT format see the GNUPLOT manual.
#
# <x> <EF_L_20> 
0.5675 -0.191524 
0.56875 -0.180032 
0.57 -0.167864 
0.57125 -0.155119 
0.5725 -0.141894 
0.57375 -0.128284 
0.575 -0.11438 
0.57625 -0.10027 
0.5775 -0.0860391 
0.57875 -0.0717676 
0.58 -0.0575326 
0.58125 -0.0434072 
0.5825 -0.0294601 
0.58375 -0.0157559 
0.585 -0.00235501 
0.58625 0.0106867 
0.5875 0.0233175 
0.58875 0.0354901 
0.59 0.0471614 
0.59125 0.0582928 
0.5925 0.0688496 
0.59375 0.0788015 
0.595 0.0881221 
0.59625 0.0967892 
0.5975 0.104784 
0.59875 0.112092 
0.6 0.118703 
0.60125 0.124608 
0.6025 0.129803 
0.60375 0.134288 
0.605 0.138065 
0.60625 0.141138 
0.6075 0.143515 
0.60875 0.145208 
0.61 0.146228 
0.61125 0.146592 
0.6125 0.146316 
0.61375 0.145421 
0.615 0.143927 
0.61625 0.141857 
0.6175 0.139236 
0.61875 0.136089 
0.62 0.132445 
0.62125 0.12833 
0.6225 0.123774 
0.62375 0.118807 
0.625 0.113459 
0.62625 0.107761 
0.6275 0.101745 
0.62875 0.0954424 
0.63 0.0888846 
0.63125 0.0821035 
0.6325 0.0751308 
0.63375 0.0679979 
0.635 0.0607358 
0.63625 0.0533754 
0.6375 0.0459467 
0.63875 0.0384793 
0.64 0.0310022 
0.64125 0.0235435 
0.6425 0.0161304 
0.64375 0.00878946 
0.645 0.00154604 
0.64625 -0.0055754 
0.6475 -0.0125515 
0.64875 -0.01936 
0.65 -0.0259798 
0.65125 -0.0323911 
0.6525 -0.0385751 
0.65375 -0.0445143 
0.655 -0.0501928 
0.65625 -0.0555954 
0.6575 -0.0607088 
0.65875 -0.0655206 
0.66 -0.0700199 
0.66125 -0.0741971 
0.6625 -0.0780438 
0.66375 -0.081553 
0.665 -0.084719 
0.66625 -0.0875372 
0.6675 -0.0900047 
0.66875 -0.0921193 
0.67 -0.0938803 
0.67125 -0.0952881 
0.6725 -0.0963445 
0.67375 -0.097052 
0.675 -0.0974144 
0.67625 -0.0974367 
0.6775 -0.0971246 
0.67875 -0.0964851 
0.68 -0.0955259 
0.68125 -0.0942555 
0.6825 -0.0926836 
0.68375 -0.0908203 
0.685 -0.0886767 
0.68625 -0.0862645 
0.6875 -0.083596 
0.68875 -0.0806842 
0.69 -0.0775424 
0.69125 -0.0741848 
0.6925 -0.0706256 
0.69375 -0.0668796 
0.695 -0.062962 
0.69625 -0.0588882 
0.6975 -0.0546738 
0.69875 -0.0503345 
0.7 -0.0458863 
0.70125 -0.0413452 
0.7025 -0.0367272 
0.70375 -0.0320484 
0.705 -0.0273246 
0.70625 -0.0225718 
0.7075 -0.0178056 
0.70875 -0.0130414 
0.71 -0.00829459 
0.71125 -0.00357998 
0.7125 0.00108774 
0.71375 0.00569433 
0.715 0.0102259 
0.71625 0.0146691 
0.7175 0.0190108 
0.71875 0.0232387 
0.72 0.0273407 
0.72125 0.0313055 
0.7225 0.0351222 
0.72375 0.0387807 
0.725 0.0422713 
0.72625 0.045585 
0.7275 0.0487136 
0.72875 0.0516494 
0.73 0.0543855 
0.73125 0.0569156 
0.7325 0.0592342 
0.73375 0.0613365 
0.735 0.0632183 
0.73625 0.0648762 
0.7375 0.0663077 
0.73875 0.0675107 
0.74 0.068484 
0.74125 0.0692271 
0.7425 0.0697402 
0.74375 0.0700242 
0.745 0.0700806 
0.74625 0.0699118 
0.7475 0.0695207 
0.74875 0.0689107 
0.75 0.0680862 
0.75125 0.0670519 
0.7525 0.0658132 
0.75375 0.0643761 
0.755 0.0627472 
0.75625 0.0609334 
0.7575 0.0589423 
0.75875 0.0567819 
0.76 0.0544608 
0.76125 0.0519877 
0.7625 0.0493719 
0.76375 0.0466231 
0.765 0.0437512 
0.76625 0.0407664 
0.7675 0.0376793 
0.76875 0.0345005 
0.77 0.0312411 
0.77125 0.0279121 
0.7725 0.0245247 
0.77375 0.0210903 
0.775 0.0176202 
0.77625 0.0141258 
0.7775 0.0106186 
0.77875 0.00710997 
0.78 0.00361112 
0.78125 0.000133258 
0.7825 -0.00331256 
0.78375 -0.00671545 
0.785 -0.0100647 
0.78625 -0.01335 
0.7875 -0.016561 
0.78875 -0.019688 
0.79 -0.0227212 
0.79125 -0.0256516 
0.7925 -0.0284702 
0.79375 -0.0311687 
0.795 -0.033739 
0.79625 -0.0361736 
0.7975 -0.0384652 
0.79875 -0.0406075 
0.8 -0.0425941 
0.80125 -0.0444196 
0.8025 -0.0460789 
0.80375 -0.0475676 
0.805 -0.0488817 
0.80625 -0.0500179 
0.8075 -0.0509734 
0.80875 -0.0517462 
0.81 -0.0523347 
0.81125 -0.0527379 
0.8125 -0.0529556 
0.81375 -0.052988 
0.815 -0.0528361 
0.81625 -0.0525013 
0.8175 -0.0519858 
0.81875 -0.0512922 
0.82 -0.050424 
0.82125 -0.0493849 
0.8225 -0.0481795 
0.82375 -0.0468128 
0.825 -0.0452902 
0.82625 -0.0436178 
0.8275 -0.0418024 
0.82875 -0.0398508 
0.83 -0.0377706 
0.83125 -0.0355698 
0.8325 -0.0332567 
0.83375 -0.0308401 
0.835 -0.0283292 
0.83625 -0.0257334 
0.8375 -0.0230624 
0.83875 -0.0203262 
0.84 -0.0175352 
0.84125 -0.0146998 
0.8425 -0.0118306 
0.84375 -0.0089384 
0.845 -0.00603404 
0.84625 -0.00312847 
0.8475 -0.000232618 
0.84875 0.00264257 
0.85 0.00548622 
0.85125 0.00828754 
0.8525 0.0110359 
0.85375 0.0137207 
0.855 0.0163319 
0.85625 0.0188592 
0.8575 0.021293 
0.85875 0.0236238 
0.86 0.0258427 
0.86125 0.0279408 
0.8625 0.02991 
0.86375 0.0317425 
0.865 0.0334311 
0.86625 0.0349689 
0.8675 0.03635 
0.86875 0.0375685 
0.87 0.0386197 
0.87125 0.0394992 
0.8725 0.0402034 
0.87375 0.0407293 
0.875 0.0410748 
0.87625 0.0412383 
0.8775 0.0412192 
0.87875 0.0410174 
0.88 0.0406337 
0.88125 0.0400699 
0.8825 0.0393281 
0.88375 0.0384117 
0.885 0.0373245 
0.88625 0.0360714 
0.8875 0.0346578 
0.88875 0.0330901 
0.89 0.0313753 
0.89125 0.0295212 
0.8925 0.0275363 
0.89375 0.0254298 
0.895 0.0232116 
0.89625 0.0208923 
0.8975 0.0184829 
0.89875 0.0159951 
0.9 0.0134411 
0.90125 0.0108336 
0.9025 0.00818574 
0.90375 0.00551098 
0.905 0.00282315 
0.90625 0.000136305 
0.9075 -0.00253527 
0.90875 -0.00517717 
0.91 -0.00777492 
0.91125 -0.010314 
0.9125 -0.0127801 
0.91375 -0.015159 
0.915 -0.0174365 
0.91625 -0.0195991 
0.9175 -0.0216335 
0.91875 -0.0235267 
0.92 -0.0252667 
0.92125 -0.0268416 
0.9225 -0.0282408 
0.92375 -0.0294541 
0.925 -0.0304725 
0.92625 -0.0312877 
0.9275 -0.0318927 
0.92875 -0.0322817 
0.93 -0.03245 
0.93125 -0.0323942 
0.9325 -0.0321125 
0.93375 -0.0316043 
0.935 -0.0308708 
0.93625 -0.0299145 
0.9375 -0.0287399 
0.93875 -0.0273528 
0.94 -0.0257611 
0.94125 -0.0239742 
0.9425 -0.0220034 
0.94375 -0.0198618 
0.945 -0.0175642 
0.94625 -0.0151272 
0.9475 -0.0125692 
0.94875 -0.00991032 
0.95 -0.00717224 
0.95125 -0.00437826 
0.9525 -0.00155311 
0.95375 0.00127711 
0.955 0.00408509 
0.95625 0.00684248 
0.9575 0.00952006 
0.95875 0.012088 
0.96 0.014516 
0.96125 0.0167737 
0.9625 0.0188309 
0.96375 0.0206579 
0.965 0.0222258 
0.96625 0.0235072 
0.9675 0.0244764 
0.96875 0.0251097 
0.97 0.0253866 
0.97125 0.0252897 
0.9725 0.0248057 
0.97375 0.0239259 
0.975 0.0226473 
0.97625 0.0209729 
0.9775 0.0189129 
0.97875 0.0164856 
0.98 0.0137183 
0.98125 0.0106483 
0.9825 0.00732425 
0.98375 0.00380717 
0.985 0.000171802 
0.98625 -0.00349198 
0.9875 -0.00707778 
0.98875 -0.0104611 
