# This file was generated by the deal.II library.
# Date =  2020/5/1
# Time =  12:51:31
#
# For a description of the GNUPLOT format see the GNUPLOT manual.
#
# <x> <EF_B_10> 
0.9575 0.286758 
0.95875 0.285841 
0.96 0.284343 
0.96125 0.282266 
0.9625 0.279616 
0.96375 0.276399 
0.965 0.272622 
0.96625 0.268294 
0.9675 0.263425 
0.96875 0.258025 
0.97 0.252107 
0.97125 0.245685 
0.9725 0.238771 
0.97375 0.231382 
0.975 0.223535 
0.97625 0.215246 
0.9775 0.206533 
0.97875 0.197416 
0.98 0.187914 
0.98125 0.178046 
0.9825 0.167834 
0.98375 0.157298 
0.985 0.14646 
0.98625 0.135339 
0.9875 0.123958 
0.98875 0.112337 
0.99 0.100496 
0.99125 0.0884556 
0.9925 0.0762338 
0.99375 0.0638487 
0.995 0.051317 
0.99625 0.0386539 
0.9975 0.0258728 
0.99875 0.0129851 
1 0 


