# This file was generated by the deal.II library.
# Date =  2020/5/1
# Time =  12:51:31
#
# For a description of the GNUPLOT format see the GNUPLOT manual.
#
# <x> <EF_Bip_wrt_M_5> 
0.6925 1.00256 
0.69375 1.02758 
0.695 1.05192 
0.69625 1.07557 
0.6975 1.09852 
0.69875 1.12075 
0.7 1.14224 
0.70125 1.16299 
0.7025 1.18298 
0.70375 1.20219 
0.705 1.22061 
0.70625 1.23824 
0.7075 1.25506 
0.70875 1.27105 
0.71 1.28621 
0.71125 1.30054 
0.7125 1.31401 
0.71375 1.32662 
0.715 1.33836 
0.71625 1.34923 
0.7175 1.35922 
0.71875 1.36831 
0.72 1.37652 
0.72125 1.38382 
0.7225 1.39021 
0.72375 1.3957 
0.725 1.40028 
0.72625 1.40393 
0.7275 1.40667 
0.72875 1.40849 
0.73 1.40939 
0.73125 1.40937 
0.7325 1.40842 
0.73375 1.40655 
0.735 1.40376 
0.73625 1.40006 
0.7375 1.39543 
0.73875 1.38989 
0.74 1.38345 
0.74125 1.37609 
0.7425 1.36784 
0.74375 1.35868 
0.745 1.34864 
0.74625 1.33771 
0.7475 1.32591 
0.74875 1.31324 
0.75 1.2997 
0.75125 1.28531 
0.7525 1.27008 
0.75375 1.25402 
0.755 1.23713 
0.75625 1.21942 
0.7575 1.20092 
0.75875 1.18162 
0.76 1.16155 
0.76125 1.14071 
0.7625 1.11912 
0.76375 1.09679 
0.765 1.07374 
0.76625 1.04998 
0.7675 1.02553 
0.76875 1.00039 
0.77 0.974599 
0.77125 0.948157 
0.7725 0.921086 
0.77375 0.893404 
0.775 0.865127 
0.77625 0.836274 
0.7775 0.806863 
0.77875 0.776913 
0.78 0.746442 
0.78125 0.715471 
0.7825 0.684019 
0.78375 0.652106 
0.785 0.619753 
0.78625 0.586979 
0.7875 0.553806 
0.78875 0.520255 
0.79 0.486347 
0.79125 0.452104 
0.7925 0.417547 
0.79375 0.382699 
0.795 0.347581 
0.79625 0.312216 
0.7975 0.276626 
0.79875 0.240835 
0.8 0.204864 
0.80125 0.168736 
0.8025 0.132475 
0.80375 0.096103 
