# This file was generated by the deal.II library.
# Date =  2020/5/1
# Time =  12:51:32
#
# For a description of the GNUPLOT format see the GNUPLOT manual.
#
# <x> <EF_M_16> 
0.9725 0.0231662 
0.97375 0.02245 
0.975 0.021385 
0.97625 0.0199816 
0.9775 0.0182559 
0.97875 0.0162301 
0.98 0.0139332 
0.98125 0.0114014 
0.9825 0.00867901 
0.98375 0.00581862 
0.985 0.00288212 
0.98625 -5.87712e-05 
0.9875 -0.00292174 
0.98875 -0.00561315 
0.99 -0.00802729 
0.99125 -0.0100455 
0.9925 -0.0115354 
0.99375 -0.0123499 
0.995 -0.0123263 
0.99625 -0.0112856 
0.9975 -0.0090311 
0.99875 -0.00534751 
1 0 


