# This file was generated by the deal.II library.
# Date =  2020/5/1
# Time =  12:51:31
#
# For a description of the GNUPLOT format see the GNUPLOT manual.
#
# <x> <EF_Bip_19> 
0.60875 0.0189721 
0.61 0.0231604 
0.61125 0.027239 
0.6125 0.0311889 
0.61375 0.0349924 
0.615 0.0386326 
0.61625 0.0420935 
0.6175 0.0453602 
0.61875 0.0484188 
0.62 0.0512567 
0.62125 0.0538623 
0.6225 0.0562251 
0.62375 0.0583357 
0.625 0.0601862 
0.62625 0.0617697 
0.6275 0.0630805 
0.62875 0.0641141 
0.63 0.0648673 
0.63125 0.0653379 
0.6325 0.0655252 
0.63375 0.0654294 
0.635 0.0650518 
0.63625 0.0643952 
0.6375 0.063463 
0.63875 0.0622601 
0.64 0.0607921 
0.64125 0.0590658 
0.6425 0.0570888 
0.64375 0.0548698 
0.645 0.0524183 
0.64625 0.0497445 
0.6475 0.0468594 
0.64875 0.043775 
0.65 0.0405036 
0.65125 0.0370584 
0.6525 0.033453 
0.65375 0.0297017 
0.655 0.0258189 
0.65625 0.0218198 
0.6575 0.0177197 
0.65875 0.0135343 
0.66 0.00927958 
0.66125 0.00497148 
0.6625 0.000626232 
0.66375 -0.00373991 
0.665 -0.00811071 
0.66625 -0.01247 
0.6675 -0.0168016 
0.66875 -0.0210896 
0.67 -0.0253183 
0.67125 -0.0294723 
0.6725 -0.0335364 
0.67375 -0.0374957 
0.675 -0.041336 
0.67625 -0.0450433 
0.6775 -0.0486041 
0.67875 -0.0520056 
0.68 -0.0552353 
0.68125 -0.0582817 
0.6825 -0.0611337 
0.68375 -0.0637807 
0.685 -0.0662133 
0.68625 -0.0684224 
0.6875 -0.0703998 
0.68875 -0.0721381 
0.69 -0.0736309 
0.69125 -0.0748722 
0.6925 -0.0758572 
0.69375 -0.0765818 
0.695 -0.0770429 
0.69625 -0.077238 
0.6975 -0.0771657 
0.69875 -0.0768255 
0.7 -0.0762177 
0.70125 -0.0753433 
0.7025 -0.0742046 
0.70375 -0.0728044 
0.705 -0.0711465 
0.70625 -0.0692355 
0.7075 -0.0670768 
0.70875 -0.0646767 
0.71 -0.0620423 
0.71125 -0.0591814 
0.7125 -0.0561025 
0.71375 -0.052815 
0.715 -0.0493288 
0.71625 -0.0456545 
0.7175 -0.0418035 
0.71875 -0.0377876 
0.72 -0.0336192 
0.72125 -0.0293114 
0.7225 -0.0248775 
0.72375 -0.0203314 
0.725 -0.0156875 
0.72625 -0.0109605 
0.7275 -0.00616527 
0.72875 -0.00131717 
0.73 0.00356831 
0.73125 0.00847547 
0.7325 0.0133885 
0.73375 0.0182914 
0.735 0.0231682 
0.73625 0.028003 
0.7375 0.0327797 
